,id,name,name_city,full-time,salary_from
3,125101147,Аналитик данных,Москва,Полный день,70000.0
4,124963529,Аналитик данных,Москва,Полный день,80000.0
10,124703479,Стажер-исследователь/Аналитик,Москва,Полный день,50000.0
16,125150497,Системный аналитик / Бизнес-аналитик (стажер),Москва,Полный день,80000.0
21,125018029,Lead/Senior бизнес-аналитик,Москва,Полный день,300000.0
31,121091720,Intern Data Analyst / Стажер - аналитик данных,Москва,Полный день,100000.0
41,124454301,Аналитик данных,Москва,Полный день,70000.0
54,125018026,Аналитик по НСИ,Москва,Полный день,200000.0
56,123695634,Аналитик,Москва,Полный день,120000.0
58,124607627,Системный аналитик,Москва,Полный день,180000.0
71,125038419,"Аналитик финансовых данных (BI, финансы, SQL)",Москва,Полный день,220000.0
